calendar_quarter,formation_date,next_formation_date,side,ticker,cik,filed_date,report_type,max_abs_shrink,leg_weight,signed_weight
2018Q1,2018-03-30,2018-06-29,long,XYL,1524472,2018-02-23,10-K,0.29736328125,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,SNA,91440,2018-02-15,10-K,0.297607421875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,NEE,753308,2018-02-16,10-K,0.2978515625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,GNRC,1474735,2018-02-26,10-K,0.300048828125,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,IP,51434,2018-02-22,10-K,0.301513671875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,EXPD,746515,2018-02-23,10-K,0.3017578125,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,GD,40533,2018-02-12,10-K,0.30224609375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,BSX,885725,2018-02-20,10-K,0.302734375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,VRSK,1442145,2018-02-20,10-K,0.302978515625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,MDLZ,1103982,2018-02-09,10-K,0.3046875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,NUE,73309,2018-02-28,10-K,0.3055419921875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,OMC,29989,2018-02-15,10-K,0.30859375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,CHD,313927,2018-02-23,10-K,0.309326171875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,NVDA,1045810,2018-02-28,10-K,0.309814453125,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,GL,320335,2018-02-27,10-K,0.3134765625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,AME,1037868,2018-02-22,10-K,0.31494140625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,ICE,1571949,2018-02-07,10-K,0.3173828125,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,GRMN,1121788,2018-02-21,10-K,0.321044921875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,ITW,49826,2018-02-15,10-K,0.322265625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,KO,21344,2018-02-23,10-K,0.32373046875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,ON,1097864,2018-02-21,10-K,0.3255615234375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,UPS,1090727,2018-02-21,10-K,0.32568359375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,TSCO,916365,2018-02-22,10-K,0.326416015625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,MLM,916076,2018-02-23,10-K,0.327880859375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,L,60086,2018-02-15,10-K,0.33154296875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,DAL,27904,2018-02-23,10-K,0.335693359375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,AKAM,1086222,2018-03-01,10-K,0.33837890625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,RSG,1060391,2018-02-09,10-K,0.339111328125,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,MTD,1037646,2018-02-09,10-K,0.3427734375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,PEP,77476,2018-02-13,10-K,0.34619140625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,TGT,27419,2018-03-14,10-K,0.349853515625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,TRV,86312,2018-02-15,10-K,0.385498046875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,NCLH,1513761,2018-02-27,10-K,0.3994140625,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,DPZ,1286681,2018-02-20,10-K,0.41162109375,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,long,BRK.B,1067983,2018-02-26,10-K,0.4295654296875,0.01098901098901099,0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,EQR,906107,2018-02-22,10-K,-0.3902587890625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,WELL,766704,2018-02-28,10-K,-0.3734588623046875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,UDR,74208,2018-02-20,10-K,-0.34832763671875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,TER,97210,2018-03-01,10-K,-0.3399658203125,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,MNST,865752,2018-03-01,10-K,-0.308349609375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,FRT,34903,2018-02-13,10-K,-0.303131103515625,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,KIM,879101,2018-02-23,10-K,-0.3011932373046875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,VTR,740260,2018-02-09,10-K,-0.29656982421875,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,O,726728,2018-02-22,10-K,-0.2839202880859375,0.01098901098901099,-0.01098901098901099
2018Q1,2018-03-30,2018-06-29,short,ZBH,1136869,2018-02-27,10-K,-0.2672119140625,0.01098901098901099,-0.01098901098901099
